event_id,ablation_mode,event_x,event_z,selected_npc,selected_role,distance_m,had_los,state_score
42,NoRole,6.32,-10.13,AblationNPC_00,Guard,1.43,1,1.00
42,NoState,6.32,-10.13,AblationNPC_00,Guard,1.43,1,1.00
43,Full,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
43,NoLOS,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
43,NoDistance,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
43,NoRole,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
43,NoState,-11.91,-1.44,AblationNPC_01,Roamer,2.22,1,0.80
44,Full,-5.00,8.28,AblationNPC_01,Roamer,9.83,1,0.80
44,NoLOS,-5.00,8.28,AblationNPC_01,Roamer,9.83,1,0.80
44,NoDistance,-5.00,8.28,AblationNPC_01,Roamer,9.83,1,0.80
44,NoRole,-5.00,8.28,AblationNPC_05,Leader,15.84,1,1.00
44,NoState,-5.00,8.28,AblationNPC_04,Roamer,4.81,1,0.10
45,Full,-10.54,-10.96,AblationNPC_01,Roamer,11.66,1,0.80
45,NoLOS,-10.54,-10.96,AblationNPC_01,Roamer,11.66,1,0.80
45,NoDistance,-10.54,-10.96,AblationNPC_01,Roamer,11.66,1,0.80
45,NoRole,-10.54,-10.96,AblationNPC_05,Leader,4.49,1,1.00
45,NoState,-10.54,-10.96,AblationNPC_07,Roamer,7.92,1,0.50
46,Full,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
46,NoLOS,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
46,NoDistance,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
46,NoRole,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
46,NoState,-8.53,2.75,AblationNPC_01,Roamer,3.40,1,0.80
47,Full,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
47,NoLOS,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
47,NoDistance,0.39,14.61,AblationNPC_01,Roamer,18.14,1,0.80
